date,site,plant,treatment,corolla_length,corolla_width,style_length,max_anther,min_anther,sepal_width,flyegg,notes
2022-08-02,Ihyb,715,nitrogen,36.3,2.7,25.6,32.9,29.9,1.5,0,
2022-08-02,Ihyb,718,nitrogen,33.1,3.0,31.6,30.6,30.1,1.2,0,
2022-08-02,Ihyb,719,nitrogen,30.7,3.2,21.5,27.0,27.0,1.7,0,
2022-08-02,Ihyb,721,water control,30.0,3.4,24.6,28.8,27.8,1.8,0,
2022-08-02,Ihyb,729,nitrogen,23.7,2.9,20.9,21.5,20.5,1.5,0,
2022-08-02,Ihyb,731,nitrogen,24.0,3.5,18.6,22.8,20.3,1.7,0,
2022-08-02,Ihyb,732,water control,25.8,2.9,19.7,25.5,24.5,1.5,0,
2022-08-02,Ihyb,737,water control,27.6,2.6,19.8,26.1,26.1,1.5,0,
2022-08-02,Ihyb,726,nitrogen,34.9,3.1,24.5,31.1,29.0,1.5,0,
2022-08-02,Ihyb,797,nitrogen,29.4,2.7,22.3,24.6,24.3,1.4,0,
2022-08-02,Ihyb,799,nitrogen,30.3,3.1,26.2,26.5,25.5,1.5,0,
2022-08-29,Ihyb,701,nitrogen,32.0,3.2,23.4,28.7,27.6,2.0,0,
2022-08-29,Ihyb,705,ambient,24.3,2.4,18.2,21.6,19.9,1.7,0,
2022-08-29,Ihyb,717,water control,18.6,2.4,11.9,15.4,14.0,1.7,1,
2022-08-29,Lagg,300,ambient,17.4,2.4,15.2,17.2,14.6,1.5,0,
2022-08-29,Lagg,317,ambient,25.7,3.5,20.7,25.8,23.2,1.2,0,
2022-08-29,Lagg,545,water control,27.4,3.4,21.7,26.0,23.9,1.4,0,
2922-08-29,Lagg,546,ambient,18.3,3.4,17.5,17.5,16.7,2.0,0,
2022-08-29,Lagg,300,ambient,25.3,3.0,23.9,24.4,22.4,1.2,0,
2922-08-29,Lagg,613,nitrogen,26.8,4.5,23.5,26.8,24.7,2.0,0,
